second,Volt1,Volt2,Volt3,Volt4
-0.00499168,0.057509546,6.32E-02,4.69E-02,3.20E-02
-0.00499152,0.057509546,6.52E-02,4.69E-02,3.20E-02
-0.00499136,0.057509546,6.32E-02,4.49E-02,3.20E-02
-0.0049912,0.057509546,6.52E-02,4.69E-02,3.20E-02
-0.00499104,0.057509546,6.32E-02,4.69E-02,3.20E-02
-0.00499088,0.057509546,6.32E-02,4.69E-02,3.20E-02
-0.00499072,0.057509546,6.32E-02,4.69E-02,3.40E-02
-0.00499056,0.059519596,6.32E-02,4.69E-02,3.40E-02
-0.0049904,0.057509546,6.32E-02,4.69E-02,3.20E-02
-0.00499024,0.057509546,6.32E-02,4.69E-02,3.20E-02
-0.00499008,0.057509546,6.32E-02,4.69E-02,3.20E-02
-0.00498992,0.057509546,6.32E-02,4.69E-02,3.20E-02
-0.00498976,0.057509546,6.32E-02,4.49E-02,3.20E-02
-0.0049896,0.055499496,6.32E-02,4.69E-02,3.20E-02
-0.00498944,0.057509546,6.32E-02,4.69E-02,3.00E-02
-0.00498928,0.057509546,6.32E-02,4.49E-02,3.00E-02
-0.00498912,0.057509546,6.32E-02,4.69E-02,3.00E-02
-0.00498896,0.057509546,6.32E-02,4.69E-02,3.20E-02
-0.0049888,0.057509546,6.12E-02,4.49E-02,3.20E-02
-0.00498864,0.057509546,6.32E-02,4.69E-02,3.20E-02
-0.00498848,0.057509546,6.32E-02,4.69E-02,3.20E-02
-0.00498832,0.055499496,6.32E-02,4.69E-02,3.00E-02
-0.00498816,0.055499496,6.32E-02,4.69E-02,3.00E-02
-0.004988,0.057509546,6.32E-02,4.49E-02,3.00E-02
-0.00498784,0.057509546,6.32E-02,4.49E-02,3.20E-02
-0.00498768,0.057509546,6.12E-02,4.49E-02,3.20E-02
-0.00498752,0.057509546,6.32E-02,4.69E-02,3.00E-02
-0.00498736,0.055499496,6.32E-02,4.49E-02,3.20E-02
-0.0049872,0.055499496,6.32E-02,4.49E-02,3.00E-02
-0.00498704,0.055499496,6.12E-02,4.49E-02,3.00E-02
-0.00498688,0.057509546,6.32E-02,4.49E-02,3.20E-02
-0.00498672,0.055499496,6.32E-02,4.69E-02,3.20E-02
-0.00498656,0.057509546,6.12E-02,4.49E-02,3.00E-02
-0.0049864,0.057509546,6.12E-02,4.49E-02,3.20E-02
